rhoP,theta,s,open_regime,closed_regime,final_regime,B_open,B_closed,P_open,P_closed,U_open,U_closed
0.01,0.10526315789473684,1.1842105263157894,intermediate,closed,bistable,0.3587857653491625,1.0,0.8890755763719939,0.09631289730154155,0.33583428027229373,0.7713094128755642
0.01,0.10526315789473684,1.2526315789473683,intermediate,closed,bistable,0.37612308057032445,1.0,0.8868570157594453,0.09533291268616534,0.33735487241564494,0.7714722829875763
0.01,0.10526315789473684,1.3210526315789475,intermediate,closed,bistable,0.3935206286228248,1.0,0.8845818603035441,0.09462094881616834,0.3389336178452267,0.7715863607346221
0.01,0.10526315789473684,1.3894736842105264,intermediate,closed,bistable,0.41092382165172403,1.0,0.8822795888188781,0.09410713468701952,0.34056069586096244,0.771666096245959
0.01,0.10526315789473684,1.4578947368421054,intermediate,closed,bistable,0.4284007002808016,1.0,0.8798947337887728,0.09377637107234443,0.34225483625038605,0.7718092582336215
0.01,0.10526315789473684,1.5263157894736843,intermediate,closed,bistable,0.4458593606614262,1.0,0.8774882730539374,0.09351445226670539,0.3439951408593276,0.7718474557198578
0.01,0.10526315789473684,1.5947368421052632,intermediate,closed,bistable,0.463374174446564,1.0,0.8749939337648955,0.09332742614382047,0.34580639455120266,0.7718739682448805
0.01,0.10526315789473684,1.6631578947368422,intermediate,closed,bistable,0.4808526234807717,1.0,0.8724830517326914,0.09319409791551364,0.34766202285590414,0.7718924432578275
0.01,0.10526315789473684,1.731578947368421,intermediate,closed,bistable,0.49837545641911535,1.0,0.8698783544682472,0.09309915770519152,0.3495929857493142,0.7719053209440577
0.01,0.10526315789473684,1.8,intermediate,closed,bistable,0.5158942855667977,1.0,0.8672164691782451,0.0930316044584304,0.35158582309317726,0.7719143012732682
0.01,0.11789473684210526,0.5,open,open,open,0.15227380434486412,0.1890536657129915,0.9072371032518982,0.4959229308332307,0.32379167344292087,0.369837386216583
0.01,0.11789473684210526,0.5684210526315789,open,intermediate,bistable,0.16632561393111076,0.2053236451404234,0.905674826698484,0.530004913135911,0.3237468567185781,0.3704464620854525
0.01,0.11789473684210526,0.6368421052631579,open,intermediate,bistable,0.18063754357981332,0.2212627501239527,0.9039552241189964,0.562869063691961,0.32413843241171036,0.3704815269814282
0.01,0.11789473684210526,0.7052631578947368,open,closed,bistable,0.19525155176447523,0.9864782536190384,0.902113361239488,0.13277876264819255,0.3248084806229889,0.751163974911415
0.01,0.11789473684210526,0.7736842105263158,intermediate,closed,bistable,0.2101982195478953,1.0,0.9001646658228315,0.11772480744688367,0.3256525370563892,0.7621853827424506
0.01,0.11789473684210526,0.8421052631578947,intermediate,closed,bistable,0.2253888566613966,1.0,0.8981383802179106,0.11018652453853338,0.3266412752089054,0.7662447237492186
0.01,0.11789473684210526,0.9105263157894737,intermediate,closed,bistable,0.24089538092033166,1.0,0.8960184760097397,0.10540698948834994,0.3277220707302521,0.7683097951212
0.01,0.11789473684210526,0.9789473684210527,intermediate,closed,bistable,0.2565992257294114,1.0,0.8938407130370252,0.10198842093652885,0.3288950315781094,0.7695239491373118
0.01,0.11789473684210526,1.0473684210526315,intermediate,closed,bistable,0.27250280460257587,1.0,0.891603999670868,0.09947288790417519,0.3301428316419379,0.7703615864631104
0.01,0.11789473684210526,1.1157894736842104,intermediate,closed,bistable,0.2886122189507847,1.0,0.8892963146416447,0.0976370458485251,0.33146006541408507,0.7708307614117416
